BpS,model,Sclass,Reference,Current
Laurentian-Acadian Northern Hardwoods Forest,13020_64,Agriculture,0,0
Laurentian-Acadian Northern Hardwoods Forest,13020_64,"Early Development, Mid-Tolerant Hardwood",4,0
Laurentian-Acadian Northern Hardwoods Forest,13020_64,"Mid Development 2, closed canopy",4,0
Laurentian-Acadian Northern Hardwoods Forest,13020_64,UE,0,0
Laurentian-Acadian Northern Hardwoods Forest,13020_64,UN,0,0
Laurentian-Acadian Northern Hardwoods Forest,13020_64,Urban,0,0
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,Early Development Hardwood,1,0
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,Agriculture,0,4
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,"Early Development, Mid-Tolerant Hardwood",4,2
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,Barren or Sparse,0,0
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,"Mid Development 1, closed canopy",14,11
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,"Mid Development 2, closed canopy",4,25
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,UE,0,2
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,UN,0,9
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,Urban,0,3
Laurentian-Acadian Northern Hardwoods Forest,13020_65_66,Late Development,77,0
Laurentian-Acadian Northern Hardwoods Forest,13020_64,Late Development,65,0
