evc,evh,percent
87,22,0.836833603
86,22,0.229042165
85,22,0.263184082
84,22,0.3003595
83,22,0.334956872
82,22,0.3636763
81,22,0.386698247
80,22,0.394561286
79,22,0.391441851
78,22,0.383346788
77,22,0.361441994
76,22,0.332516322
75,22,0.297308813
74,22,0.265659006
73,22,0.23309829
72,22,0.198818877
71,22,0.166593307
70,22,0.137959814
69,22,0.116441726
68,22,0.095757207
67,22,0.077152311
66,22,0.063437109
65,22,0.050332044
64,22,0.040664373
63,22,0.032552122
62,22,0.026871829
61,22,0.021457933
60,22,0.017272906
59,22,0.014247999
58,22,0.012142595
57,22,0.009547362
56,22,0.007863039
55,22,0.006943536
54,22,0.005517018
53,22,0.004288149
52,22,0.003918629
51,22,0.002878818
50,22,0.002303054
49,22,0.001847599
48,22,0.001606982
47,22,0.001263242
46,22,0.001022625
45,22,0.001056999
44,22,0.000730446
43,22,0.00059295
42,22,0.000515609
41,22,0.000498422
40,22,0.000378113
39,22,0.000257805
38,22,0.000214837
37,22,0.000232024
36,22,0.000232024
35,22,0.000206244
34,22,0.00017187
33,22,7.73414E-05
32,22,0.000103122
31,22,6.87479E-05
30,22,0.000111715
29,22,5.15609E-05
28,22,3.43739E-05
27,22,3.43739E-05
26,22,8.59349E-05
25,22,8.59349E-06
24,22,8.59349E-06
23,22,4.29674E-05
21,22,2.57805E-05
20,22,8.59349E-06
19,22,8.59349E-06
17,22,8.59349E-06
12,22,8.59349E-06
87,21,0.936939114
86,21,0.270222147
85,21,0.319411257
84,21,0.355478115
83,21,0.396735438
82,21,0.431977321
81,21,0.457534347
80,21,0.478029809
79,21,0.488462301
78,21,0.483271835
77,21,0.465320045
76,21,0.442676211
75,21,0.409470983
74,21,0.373739271
73,21,0.329809374
72,21,0.286188843
71,21,0.246890834
70,21,0.210454456
69,21,0.178503878
68,21,0.150489115
67,21,0.121795468
66,21,0.102485906
65,21,0.085659862
64,21,0.072133716
63,21,0.059475512
62,21,0.050254702
61,21,0.041540908
60,21,0.035877801
59,21,0.031031076
58,21,0.026493715
57,21,0.022351655
56,21,0.018570522
55,21,0.015846387
54,21,0.014050349
53,21,0.011747294
52,21,0.010398117
51,21,0.009212216
50,21,0.007983348
49,21,0.006788853
48,21,0.005860757
47,21,0.00510453
